#TYPE System.Management.Automation.PSCustomObject
"ScheduleName","Reboot","OS","DayofWeek","TagName","TagValue","StartTime","DaysofWeekOccurrence"
"3rd Thursday UTC8 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU3UTC8","08:00","Third"
"1st Thursday UTC16 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU1UTC16","16:00","First"
"1st Thursday UTC16 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU1UTC16","16:00","First"
"2nd Thursday UTC16 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU2UTC16","16:00","Second"
"2nd Thursday UTC16 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU2UTC16","16:00","Second"
"3rd Thursday UTC16 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU3UTC16","16:00","Third"
"3rd Thursday UTC16 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU3UTC16","16:00","Third"
"1st Friday UTC0 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI1UTC0","00:00","First"
"1st Friday UTC0 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI1UTC0","00:00","First"
"2nd Friday UTC0 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI2UTC0","00:00","Second"
"2nd Friday UTC0 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI2UTC0","00:00","Second"
"3rd Friday UTC0 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI3UTC0","00:00","Third"
"3rd Friday UTC0 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI3UTC0","00:00","Third"
"1st Friday UTC8 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI1UTC8","08:00","First"
"1st Friday UTC8 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI1UTC8","08:00","First"
"2nd Friday UTC8 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI2UTC8","08:00","Second"
"2nd Friday UTC8 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI2UTC8","08:00","Second"
"3rd Friday UTC8 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI3UTC8","08:00","Third"
"3rd Friday UTC8 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI3UTC8","08:00","Third"
"1st Friday UTC16 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI1UTC16","16:00","First"
"1st Friday UTC16 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI1UTC16","16:00","First"
"2nd Friday UTC16 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI2UTC16","16:00","Second"
"2nd Friday UTC16 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI2UTC16","16:00","Second"
"3rd Friday UTC16 - Windows Update","IfRequired","Windows","Friday","UpdateWindow","FRI3UTC16","16:00","Third"
"3rd Friday UTC16 - Linux Update","IfRequired","Linux","Friday","UpdateWindow","FRI3UTC16","16:00","Third"
"1st Saturday UTC0 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT1UTC0","00:00","First"
"1st Saturday UTC0 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT1UTC0","00:00","First"
"2nd Saturday UTC0 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT2UTC0","00:00","Second"
"2nd Saturday UTC0 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT2UTC0","00:00","Second"
"3rd Saturday UTC0 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT3UTC0","00:00","Third"
"3rd Saturday UTC0 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT3UTC0","00:00","Third"
"1st Saturday UTC8 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT1UTC8","08:00","First"
"1st Saturday UTC8 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT1UTC8","08:00","First"
"2nd Saturday UTC8 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT2UTC8","08:00","Second"
"2nd Saturday UTC8 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT2UTC8","08:00","Second"
"3rd Saturday UTC8 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT3UTC8","08:00","Third"
"3rd Saturday UTC8 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT3UTC8","08:00","Third"
"1st Saturday UTC16 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT1UTC16","16:00","First"
"1st Saturday UTC16 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT1UTC16","16:00","First"
"2nd Saturday UTC16 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT2UTC16","16:00","Second"
"2nd Saturday UTC16 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT2UTC16","16:00","Second"
"3rd Saturday UTC16 - Windows Update","IfRequired","Windows","Saturday","UpdateWindow","SAT3UTC16","16:00","Third"
"3rd Saturday UTC16 - Linux Update","IfRequired","Linux","Saturday","UpdateWindow","SAT3UTC16","16:00","Third"
"1st Sunday UTC0 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN1UTC0","00:00","First"
"1st Sunday UTC0 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN1UTC0","00:00","First"
"2nd Sunday UTC0 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN2UTC0","00:00","Second"
"2nd Sunday UTC0 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN2UTC0","00:00","Second"
